"Timestamp","How much Smalltalk experience do you have?","Where did you gain your Smalltalk experience?","How often do you develop software?","What Smalltalk dialect do you use primarily?","You mainly work ...","I access and/or inspect objects ... [Select:]","I modify variables in inspector windows ... [Select:]","I evaluate code snippets and/or run methods in inspector windows ... [Select:]","I keep inspector windows open for long periods of time. [Select:]","It is easy to access objects. [Confirm:]","Smalltalk offers many ways to access or inspect objects. [Confirm:]","Accessing objects helps me to understand how programs work. [Confirm:]","Accessing objects helps me to get immediate information about objects and/or program states. [Confirm:]","I debug programs ... [Select:]","I modify variables in debugger windows ... [Select:]","I evaluate code snippets and/or run methods in debugger windows ... [Select:]","Debugging programs helps me to understand how the programs work. [Confirm:]","Debugging programs helps me to get immediate information about program behaviors and/or states. [Confirm:]","I modify source code of running programs ... [Select:]","Modifying running programs helps me to understand how programs work. [Confirm:]","When I change the source code of a running program, I expect to see the effect of my changes immediately or very soon after. [Confirm:]","I write code snippets ... [Select:]","Writing code snippets helps me to identify what is the cause of a bug. [Confirm:]","Writing code snippets helps me to learn new libraries and/or programs. [Confirm:]","Writing code snippets helps me to identify how I should structure my source code. [Confirm:]","Writing code snippets helps me to get immediate information about program behaviors and/or states. [Confirm:]","I search for source code examples ... [in example classes and/or methods]","I search for source code examples ... [in class and/or method comments]","I search for source code examples ... [in help and/or example browsers]","I search for source code examples ... [in test cases]","I search for source code examples ... [in general source code]","I search for source code examples ... [on Internet and/or books]","Relevant source code examples are easy to find. [Confirm:]","Source code examples are easy to execute. [Confirm:]","Source code examples are easy to modify. [Confirm:]","Source code examples helps me to learn new libraries and/or programs. [Confirm:]","How often do you ask for examples, program usages, and/or issue solutions ... [to colleagues in person?]","How often do you ask for examples, program usages, and/or issue solutions ... [in chats and/or mailing lists?]","What do you use (attach) when discussing programming issues electronically? [screenshots]","What do you use (attach) when discussing programming issues electronically? [code snippets]","What do you use (attach) when discussing programming issues electronically? [source code]","What do you use (attach) when discussing programming issues electronically? [links to source code]","What do you use (attach) when discussing programming issues electronically? [patches or bug fixes]","What do you use (attach) when discussing programming issues electronically? [stack traces in text forms]","What do you use (attach) when discussing programming issues electronically? [serialized objects and/or programs]","What do you use (attach) when discussing programming issues electronically? [serialized stack traces]","It is easier to read a source code, rather than write a test case for it. [Familiar code]","It is easier to read a source code, rather than write a test case for it. [Unfamiliar code]","It is easier to read a source code, rather than write a code snippet to run it. [Familiar code]","It is easier to read a source code, rather than write a code snippet to run it. [Unfamiliar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Familiar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Unfamiliar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Familiar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Unfamiliar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Familiar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Unfamiliar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Familiar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Unfamiliar code]","Live programming in Smalltalk","Electronic communication in Smalltalk"
"2017/08/03 4:01:41 PM GMT-3","more than 10 years","In both (academia and industry)","Daily","Cuis","alone, without co-workers","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Somewhat agree","Somewhat agree","Agree","Agree","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Agree","Regularly","Agree","Agree","Often","Agree","Agree","Neutral","Agree","Often","Often","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Neutral","Somewhat agree","Somewhat agree","Agree","Not applicable","Rarely","I do not want or need","","","","","","","","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Somewhat agree","Somewhat agree","Neutral","Neutral","",""
"2017/08/03 4:40:12 PM GMT-3","more than 10 years","Primarily in industry","Daily","Squeak","alone, without co-workers","Regularly","Rarely","Regularly","Occasionally/ Sometimes","Somewhat agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Often","Agree","Agree","Very often","Agree","Somewhat agree","Rarely","Neutral","Agree","Somewhat disagree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Rarely","Very often","Rarely","Agree","Agree","Agree","Agree","Not applicable","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","Agree","Somewhat agree","Agree","Agree","Neutral","Somewhat disagree","Neutral","Somewhat disagree","Neutral","Somewhat agree","Somewhat disagree","Somewhat disagree","",""
"2017/08/03 5:04:38 PM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks;VisualSmalltalk","remotely, my co-workers are in other buildings and/or cities","Very often","Often","Often","Often","Agree","Agree","Agree","Agree","Very often","Often","Often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Neutral","Agree","Often","Very often","Often","Often","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Often","Often","I do easily","I do easily","I do easily","Not applicable","I do easily","Not applicable","I do not want or need","I do not want or need","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Somewhat agree","Somewhat agree","VW Smalltalk is one of most powerful IDE available. All development tools are written in Smalltalk itself and all of the source code is available for examination. Smalltalk is encouraging the exploratory style of programming.  
Manuy of the modern programming things like Agile, Pair Programming, OO have their roots in Smalltalk.","VW Smalltalk has support for most common electronic communication protocols HTTP(s), FTP, Imap, SMTP, etc.  "
"2017/08/03 5:08:24 PM GMT-3","more than 10 years","In both (academia and industry)","Daily","VisualWorks;GemStone","in a shared office","Very often","Regularly","Often","Rarely","Agree","Agree","Somewhat agree","Agree","Very often","Regularly","Very often","Agree","Agree","Often","Agree","Agree","Regularly","Somewhat disagree","Agree","Somewhat agree","Somewhat agree","Very often","Very often","Occasionally/ Sometimes","Rarely","Very often","Occasionally/ Sometimes","Somewhat disagree","Somewhat agree","Agree","Agree","Often","Occasionally/ Sometimes","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I would like, but I am not authorized to do this","I do not want or need","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","","","Disagree","Disagree","Agree","Agree","Somewhat agree","Agree","Smalltalk allows me to write my application almost entirely in the debugger.  no other language allows this.",""
"2017/08/03 5:24:30 PM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo;VisualWorks","remotely, my co-workers are in other buildings and/or cities","Very often","Very often","Very often","Rarely","Agree","Somewhat agree","Agree","Somewhat agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Somewhat disagree","Somewhat agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Very often","Rarely","Very often","Neutral","Neutral","Somewhat agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do, but exchanging it is (too) difficult","I do easily","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I do not want or need","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Somewhat disagree","Somewhat agree","Agree","Neutral","Somewhat agree","Agree","Disagree","Neutral","Disagree","Agree","Neutral","Being able to lively share the SAME workspace/playground I'm using with a fellow worker would be a plus. So we both can work on the code or inspect the objects reachable.
Also, being able to restart the VM from whitin the VM, I don't know if that is possible, but for a live running system, being able say ""shutdown, but restart afterwards"" would give us a last resort to restart a live system.","I don't understand the question."
"2017/08/03 5:30:03 PM GMT-3","2 years or less","Primarily in academia (student, profesor)","Weekly","Pharo","in a shared office","Often","Rarely","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Often","Somewhat agree","Agree","Somewhat disagree","Neutral","Very often","Rarely","Regularly","Very often","Very often","Regularly","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","Agree","Somewhat agree","Agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","",""
"2017/08/03 6:03:12 PM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Weekly","Pharo;VisualWorks;GemStone;VA-ST","remotely, my co-workers are in other buildings and/or cities","Very often","Very often","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Not applicable","Agree","Very often","Very often","Very often","Very often","Very often","Very often","Somewhat agree","Agree","Agree","Agree","Very often","Very often","I do easily","I do easily","I do easily","","I do easily","I do easily","I do easily","I do not want or need","Agree","Agree","Agree","Agree","Agree","Neutral","Somewhat agree","Somewhat disagree","Disagree","Disagree","Agree","Agree","-","-"
"2017/08/03 6:10:57 PM GMT-3","2 years or less","Primarily in academia (student, profesor)","Weekly","VisualWorks","remotely, my co-workers are in other buildings and/or cities","Very often","Occasionally/ Sometimes","Rarely","Often","Agree","Agree","Agree","Agree","Rarely","Rarely","Rarely","Somewhat agree","Agree","Rarely","Neutral","Agree","Very often","Agree","Agree","Agree","Agree","Regularly","Regularly","Regularly","Regularly","Regularly","Often","Agree","Agree","Agree","Agree","Occasionally/ Sometimes","Rarely","I do easily","I do easily","I do easily","I do easily","I do not want or need","I do not know","I do not know","I do not know","Neutral","Agree","Neutral","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neutral","Somewhat agree","Somewhat agree","Somewhat agree","",""
"2017/08/03 6:33:57 PM GMT-3","2 years or less","Primarily in industry","Daily","Pharo","remotely, my co-workers are in other buildings and/or cities","Very often","I do not know","Regularly","Very often","Agree","Agree","Agree","Agree","Occasionally/ Sometimes","I do not know","Regularly","Agree","Agree","Very often","Disagree","Agree","Often","Neutral","Agree","Neutral","Neutral","Often","Rarely","I do not know","Often","Occasionally/ Sometimes","Often","Agree","Agree","Agree","Agree","Rarely","Rarely","I do easily","I do easily","I do easily","I do not want or need","Not applicable","Not applicable","Not applicable","Not applicable","Somewhat disagree","Disagree","Somewhat disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Agree","Agree","",""
"2017/08/03 7:00:45 PM GMT-3","more than 10 years","Primarily in industry","Daily","Bee Smalltalk","in a shared office","Very often","Occasionally/ Sometimes","Very often","Often","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Rarely","Rarely","Rarely","Often","Very often","Rarely","Somewhat agree","Agree","Agree","Agree","Often","Rarely","","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do not want or need","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat disagree","Disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","",""
"2017/08/03 7:06:12 PM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo;VisualWorks;GemStone","in a shared office","Very often","Often","Very often","Occasionally/ Sometimes","Neutral","Agree","Agree","Agree","Very often","Rarely","Often","Agree","Agree","Very often","Agree","Agree","Often","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Rarely","Rarely","Rarely","Regularly","Often","Rarely","Somewhat disagree","Neutral","Somewhat agree","Somewhat agree","Occasionally/ Sometimes","Rarely","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Somewhat agree","Agree","Not applicable","Not applicable","Not applicable","Not applicable","Somewhat disagree","Somewhat disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 7:17:54 PM GMT-3","more than 10 years","Primarily in industry","Weekly","Cuis","alone, without co-workers","Often","Regularly","Often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Regularly","Regularly","Occasionally/ Sometimes","Agree","Agree","Often","","Agree","Occasionally/ Sometimes","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Occasionally/ Sometimes","Very often","Occasionally/ Sometimes","Regularly","Very often","Occasionally/ Sometimes","Somewhat agree","Agree","Agree","Agree","Rarely","Regularly","I do easily","I do easily","I do easily","Not applicable","I do easily","I do easily","I do easily","I do easily","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Visual test cases are harder to automate.  Other unit tests easy.","Not sure what this sentence means.."
"2017/08/03 8:26:54 PM GMT-3","3 to 5 years","Primarily in academia (student, profesor)","Daily","Squeak","in a shared office","Very often","Occasionally/ Sometimes","Often","Occasionally/ Sometimes","Agree","I do not know","Agree","Agree","Very often","Often","Regularly","Agree","Agree","Rarely","Neutral","Agree","Often","Neutral","Agree","Somewhat disagree","Agree","Often","Often","Occasionally/ Sometimes","Regularly","Often","Occasionally/ Sometimes","Somewhat disagree","Agree","Somewhat agree","Agree","Not applicable","Not applicable","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do not want or need","I do not want or need","Agree","Agree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","I do not know","I do not know","Neutral","Neutral","I do quite a lot of persistent work - out to databases, third-party services &c. Live coding and just running examples can work very well within the image, where there is a simple way to reset by quitting and restarting.  As ever, when interacting with state outside the image, live coding can cause mayhem.",""
"2017/08/04 12:01:58 AM GMT-3","3 to 5 years","Primarily in industry","Daily","Pharo","remotely, my co-workers are in other buildings and/or cities","Very often","Often","Often","Often","Agree","Agree","Agree","Agree","Very often","Often","Often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Often","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Often","Somewhat agree","Somewhat agree","Agree","Agree","Rarely","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat agree","","Neutral","Somewhat agree","Agree","Somewhat agree","Disagree","Disagree","Somewhat disagree","Somewhat disagree","Agree","Agree","",""
"2017/08/04 3:42:34 AM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Daily","Pharo","in a shared office","Often","Regularly","Often","Regularly","Somewhat disagree","Somewhat agree","Agree","Agree","Very often","Often","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Occasionally/ Sometimes","Neutral","Somewhat agree","Disagree","Somewhat disagree","Regularly","Occasionally/ Sometimes","Rarely","Very often","Regularly","Occasionally/ Sometimes","Somewhat disagree","Somewhat disagree","Neutral","Somewhat agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do easily","I do not, because exchanging it is too complex","I do not know","I do, but exchanging it is (too) difficult","I do not know","I do not know","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/04 4:04:02 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","Pharo;VisualWorks;Smalltalk/X","in a shared office","Very often","Often","Very often","Regularly","Somewhat agree","Somewhat agree","Agree","Agree","Very often","Very often","Often","Agree","Agree","Very often","Agree","Agree","Very often","Somewhat agree","Somewhat agree","Neutral","Neutral","Very often","Regularly","Occasionally/ Sometimes","Rarely","Occasionally/ Sometimes","Often","Somewhat disagree","Neutral","Neutral","Somewhat agree","Not applicable","Occasionally/ Sometimes","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat agree","I do not know","Somewhat agree","Agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Agree","Agree","Agree","I do not know","You may include questions related with the image (sharing images, collaborative images, etc). Also the (lack of) evolution of Smalltalk tools. For example the tools do not know yet if I am repairing code or building something. The cost of understanding sometimes is too much, so I use and value the tools which help me to avoid understanding things I am not particularily interested.",""
"2017/08/04 4:19:01 AM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Daily","Pharo","in a single person office","Very often","Often","Very often","Often","Agree","Agree","Agree","Agree","Very often","Regularly","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Very often","Often","Rarely","Regularly","Regularly","Often","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Often","Often","","I do easily","I do easily","I do not want or need","I do not know","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","Neutral","Somewhat disagree","Neutral","Somewhat disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","We should continue to use pharo method doc (>>>) and add example in the method comments.
We should continue to have <sampleInstance> because this is super handy and we should have a lot more examples.

The primary goal of test is not documentation it is regression identification. 

We should also push the ide to keep track of problems (like the ghost work of Eric Tanter so that we can go over the compilation mistakes and check them later).","Why not but I would prefer to have an even more powerful debugger. "
"2017/08/04 5:41:41 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","VA Smalltalk","in a shared office","Very often","Regularly","Often","Regularly","Agree","Agree","Agree","Agree","Often","Regularly","Regularly","Agree","Agree","Very often","Agree","Agree","Often","Agree","Agree","Agree","Agree","Regularly","Rarely","Rarely","Often","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/04 5:45:04 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo","in a shared office","Very often","Very often","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Often","Very often","Very often","Regularly","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Often","Occasionally/ Sometimes","I do easily","I do easily","I do not want or need","I do not want or need","I do not know","I do easily","I do not know","I do not know","Somewhat agree","Somewhat disagree","Neutral","Disagree","Neutral","Disagree","Somewhat disagree","Disagree","Agree","Agree","Agree","I do not know","",""
"2017/08/04 6:26:09 AM GMT-3","2 years or less","Hobby","Weekly","Pharo","alone, without co-workers","Often","Occasionally/ Sometimes","Regularly","Regularly","Somewhat agree","Agree","Agree","Agree","Often","Regularly","Often","Agree","Agree","Often","Somewhat agree","Agree","Occasionally/ Sometimes","Agree","Agree","Somewhat agree","Neutral","Regularly","Rarely","Regularly","Rarely","Rarely","Often","Somewhat disagree","Somewhat agree","Neutral","Agree","Rarely","Regularly","","I do easily","I do not, because exchanging it is too complex","I do not want or need","I do easily","I do not want or need","I do not want or need","I do not want or need","Agree","Agree","Neutral","Somewhat disagree","Neutral","Somewhat disagree","Disagree","Disagree","Neutral","Agree","Agree","Agree","",""
"2017/08/04 7:32:15 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","Pharo;Squeak","in a shared office","Often","Rarely","Very often","Rarely","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Regularly","Agree","Agree","Regularly","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Rarely","Regularly","Very often","Regularly","Somewhat agree","Somewhat agree","Agree","Agree","Rarely","Rarely","I do easily","I do, but exchanging it is (too) difficult","Not applicable","Not applicable","Not applicable","I do, but exchanging it is (too) difficult","Not applicable","Not applicable","Neutral","Neutral","Neutral","Neutral","Somewhat agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","",""
"2017/08/04 8:25:33 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks;GemStone","in a shared office","Very often","Very often","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Very often","Often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Neutral","Agree","Very often","Rarely","Rarely","Occasionally/ Sometimes","Very often","Rarely","Somewhat agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","Agree","Neutral","Agree","Somewhat disagree","Agree","Somewhat disagree","Somewhat disagree","Disagree","Neutral","Agree","Agree","Agree","I see it as a fundamental advantage of using Smalltalk.","The dream is seamless image to image communication, including remote debugging. "
"2017/08/04 8:31:39 AM GMT-3","2 years or less","Primarily in industry","Daily","Pharo","in a shared office","Very often","Often","Often","Often","Agree","Agree","Agree","Agree","Often","Often","Often","Agree","Agree","Often","Agree","Agree","Regularly","Agree","Agree","Somewhat agree","Agree","Very often","Very often","Very often","Very often","Often","Very often","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Regularly","Occasionally/ Sometimes","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do, but exchanging it is (too) difficult","I would like, but I am not authorized to do this","Agree","Somewhat agree","Neutral","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neutral","Somewhat agree","Agree","Agree","More live programming videos and structured content (blog, books, tutorials at one place)",""
"2017/08/04 10:05:15 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","Squeak","remotely, my co-workers are in other buildings and/or cities","Very often","Regularly","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Very often","Agree","Agree","Neutral","Agree","Often","Often","Occasionally/ Sometimes","Regularly","Very often","Occasionally/ Sometimes","Agree","Somewhat agree","Somewhat agree","Agree","Regularly","Occasionally/ Sometimes","I do easily","I do easily","I do easily","","I do easily","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Disagree","Disagree","Agree","Somewhat agree","Agree","Agree","",""
"2017/08/04 10:19:09 AM GMT-3","6 to 10 years","Hobby + profession","Daily","Squeak","in a shared office","Very often","Often","Often","Very often","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Agree","Regularly","Agree","Agree","Regularly","Somewhat agree","Neutral","Neutral","Agree","Regularly","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Regularly","Rarely","Somewhat agree","Agree","Agree","Neutral","Rarely","Rarely","I do easily","I do easily","I do easily","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Agree","Somewhat agree","Neutral","Neutral","Somewhat disagree","Somewhat agree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/04 10:26:41 AM GMT-3","more than 10 years","Primarily in industry","Daily","Squeak","alone, without co-workers","Regularly","Rarely","Regularly","Rarely","Agree","Agree","Agree","Neutral","Often","Rarely","Rarely","Agree","Agree","Very often","Agree","Agree","Rarely","Neutral","Agree","Disagree","Neutral","Occasionally/ Sometimes","Rarely","Rarely","Rarely","Often","Regularly","Neutral","Agree","I do not know","I do not know","Rarely","Occasionally/ Sometimes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Agree","Agree","Somewhat disagree","Somewhat disagree","Agree","Somewhat disagree","Somewhat disagree","Disagree","Neutral","Agree","Agree","Neutral","",""
"2017/08/04 10:28:15 AM GMT-3","more than 10 years","Primarily in industry","Less than weekly","VisualWorks","alone, without co-workers","Often","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Neutral","Agree","Agree","Regularly","Regularly","Occasionally/ Sometimes","Agree","Agree","Rarely","Not applicable","Not applicable","Regularly","Agree","Agree","Somewhat agree","Agree","Regularly","Occasionally/ Sometimes","Rarely","Rarely","Occasionally/ Sometimes","Occasionally/ Sometimes","Somewhat disagree","Neutral","Somewhat agree","Somewhat agree","Rarely","Rarely","Not applicable","I do easily","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Somewhat agree","Neutral","Somewhat agree","Neutral","Somewhat agree","Neutral","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Agree","Neutral","",""
"2017/08/04 10:33:14 AM GMT-3","more than 10 years","Independent study","Daily","Squeak","remotely, my co-workers are in other buildings and/or cities","Very often","Regularly","Very often","Often","Agree","Agree","Agree","Agree","Often","Regularly","Often","Agree","Agree","Often","Agree","Agree","Very often","Agree","Agree","Neutral","Agree","Often","Often","Occasionally/ Sometimes","Regularly","Regularly","Rarely","Somewhat agree","Agree","Agree","Agree","Rarely","Occasionally/ Sometimes","I do not want or need","I do easily","I do easily","I do easily","I do easily","I do not want or need","I do not want or need","I do not want or need","Somewhat agree","Agree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","",""
"2017/08/04 11:37:42 AM GMT-3","2 years or less","Selfstudy","Daily","Squeak;GemStone","alone, without co-workers","Often","Regularly","Often","Regularly","Agree","Agree","Agree","Agree","Regularly","Rarely","Regularly","Somewhat agree","Agree","Rarely","Neutral","Neutral","Regularly","Neutral","Agree","Agree","Agree","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Regularly","Often","Somewhat agree","Agree","Agree","Agree","Not applicable","Rarely","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Neutral","Neutral","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Agree","Agree","",""
"2017/08/04 12:02:44 PM GMT-3","2 years or less","Primarily in academia (student, profesor)","Less than weekly","Pharo","in a single person office","Regularly","Rarely","Occasionally/ Sometimes","Rarely","Somewhat agree","Agree","Somewhat agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Somewhat agree","Somewhat agree","Regularly","Somewhat agree","Agree","Very often","Neutral","Agree","Somewhat disagree","Somewhat disagree","Often","Rarely","Occasionally/ Sometimes","Regularly","Occasionally/ Sometimes","Often","Somewhat agree","Agree","Agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neutral","Agree","Agree","",""
"2017/08/04 12:03:48 PM GMT-3","more than 10 years","Open source hobbyist","Daily","Pharo;Squeak","alone, without co-workers","Often","Rarely","Regularly","Regularly","Somewhat disagree","Agree","Somewhat agree","Agree","Very often","Rarely","Very often","Agree","Agree","Very often","Disagree","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Rarely","Occasionally/ Sometimes","Rarely","Rarely","Very often","Rarely","Agree","Somewhat agree","Not applicable","Agree","Rarely","Occasionally/ Sometimes","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do not want or need","Neutral","Agree","Somewhat disagree","Disagree","Agree","Agree","Disagree","Disagree","Not applicable","Disagree","Not applicable","Not applicable","",""
